// time microseconds, LUX*100
43971288,174.03
43976284,172.65
43981284,174.49
43986284,174.49
43991292,173.57
43996288,174.49
44001288,173.57
44006284,174.03
44011288,172.65
44016288,174.03
44021284,172.65
44026284,173.57
44031284,172.19
44036284,174.49
44041284,174.03
44046280,172.65
44051284,173.57
44056288,174.03
44061296,174.03
44066288,172.19
44071288,173.57
44076292,172.65
44081284,174.03
44086288,173.57
44091280,173.57
44096288,174.49
44101288,174.03
44106284,174.03
44111288,173.57
44116292,174.03
44121284,172.65
44126288,173.57
44131276,172.65
44136288,174.03
44141292,174.03
44146288,173.11
44151284,173.11
44156288,173.11
44161296,173.57
44166288,171.28
44171288,173.11
44176276,172.65
44181284,173.57
44186284,172.65
44191288,173.11
44196288,173.57
44201292,173.57
44206284,173.11
44211288,172.65
44216280,174.03
44221284,172.19
44226284,173.11
44231288,171.74
44236288,173.57
44241284,174.03
44246288,173.11
44251288,173.57
44256296,173.11
44261288,173.57
44266288,172.65
44271288,173.11
44276284,172.19
44281288,173.57
44286284,172.19
44291284,173.11
44296284,174.03
44301280,173.57
44306284,173.57
44311288,173.11
44316292,173.57
44321288,172.19
44326284,173.11
44331284,172.19
44336296,173.57
44341288,174.03
44346280,173.11
44351284,173.57
44356288,173.57
44361284,174.03
44366288,173.11
44371284,173.11
44376296,171.74
44381288,173.57
44386280,172.65
44391284,173.57
44396288,174.03
44401284,174.03
44406284,173.57
44411288,172.65
44416288,174.03
44421288,172.19
44426288,173.57
44431280,171.74
44436284,173.57
44441284,173.11
44446288,173.11
44451284,173.57
44456284,173.57
44461292,174.03
44466296,172.65
44471276,173.57
44476288,171.74
44481284,173.57
44486288,171.74
44491284,173.57
44496288,173.57
44501284,174.03
44506288,173.11
44511284,173.11
44516276,174.03
44521288,173.11
44526288,173.11
44531288,171.74
44536284,174.03
44541284,172.65
44546292,173.57
44551284,173.57
44556296,173.57
44561288,173.57
44566288,172.65
44571292,173.57
44576292,171.74
44581284,174.03
44586288,171.74
44591288,173.11
44596284,173.57
44601276,173.57
44606288,173.57
44611284,173.11
44616284,174.03
44621296,173.11
44626284,173.11
44631296,171.74
44636292,173.11
44641280,172.65
44646284,173.11
44651284,173.57
44656288,173.57
44661288,174.03
44666284,173.11
44671288,173.57
44676292,171.74
44681296,173.57
44686280,171.28
44691288,173.11
44696284,172.65
44701284,173.57
44706284,173.57
44711284,173.11
44716292,174.03
44721296,173.11
44726284,173.11
44731280,171.74
44736284,173.57
44741284,172.65
44746288,173.11
44751288,173.57
44756288,173.57
44761292,174.03
44766288,173.11
44771284,173.57
44776288,172.65
44781292,174.03
44786284,171.28
44791284,173.11
44796284,172.19
44801292,173.57
44806288,173.11
44811288,173.11
44816284,173.57
44821288,173.57
44826288,173.57
44831292,171.74
44836284,173.57
44841284,172.65
44846292,173.11
44851284,174.03
44856284,173.57
44861288,174.03
44866288,172.65
44871284,173.11
44876288,173.11
44881288,174.03
44886296,171.74
44891284,173.57
44896284,172.65
44901276,174.03
44906288,173.57
44911284,173.57
44916284,174.03
44921288,173.11
44926284,173.11
44931292,171.74
44936284,173.57
44941280,172.19
44946292,173.57
44951284,172.65
44956284,173.57
44961284,174.03
44966288,173.11
44971288,173.11
44976296,173.11
44981284,174.03
44986284,171.74
44991284,173.57
44996284,172.19
45001284,173.57
45006284,173.57
45011288,173.11
45016296,173.57
45021288,173.57
45026284,173.11
45031288,172.65
45036288,173.11
45041284,172.19
45046284,173.11
45051284,172.19
45056284,173.57
45061288,174.03
45066288,173.11
45071284,173.11
45076288,173.11
45081284,174.03
45086288,172.19
45091288,173.11
45096284,172.19
45101296,173.57
45106292,173.57
45111284,173.11
45116284,174.03
45121292,173.11
45126284,173.57
45131288,172.65
45136284,173.57
45141284,172.19
45146288,173.11
45151288,171.74
45156276,174.03
45161292,174.03
45166296,173.11
45171284,173.11
45176284,173.11
45181288,173.57
45186300,171.74
45191284,173.57
45196284,172.19
45201284,173.57
45206284,172.65
45211288,173.11
45216284,174.03
45221284,173.57
45226288,173.57
