// time microseconds, LUX*100
2086436,173.11
2091448,172.65
2096440,172.65
2101448,173.11
2106440,172.65
2111440,172.19
2116448,172.19
2121444,171.28
2126436,172.65
2131444,171.28
2136436,172.65
2141444,173.11
2146440,173.11
2151452,172.65
2156436,172.65
2161452,173.11
2166444,172.65
2171440,172.19
2176444,172.19
2181448,171.74
2186448,173.11
2191444,173.11
2196448,172.65
2201448,173.11
2206444,173.11
2211436,172.65
2216448,172.65
2221440,172.65
2226444,172.19
2231460,171.74
2236448,173.11
2241440,173.11
2246448,173.11
2251440,172.65
2256436,172.65
2261444,173.11
2266440,173.11
2271440,172.19
2276444,172.19
2281440,172.65
2286452,173.57
2291444,173.11
2296440,172.65
2301448,173.11
2306440,173.11
2311444,172.19
2316456,172.19
2321452,172.19
2326448,171.74
2331436,170.83
2336436,172.19
2341436,173.11
2346448,173.11
2351440,173.11
2356456,173.57
2361448,173.57
2366444,172.65
2371448,171.74
2376452,171.28
2381444,172.19
2386448,172.65
2391440,173.11
2396444,172.65
2401456,173.11
2406444,173.11
2411448,172.65
2416452,172.65
2421448,173.11
2426444,173.11
2431452,172.19
2436444,171.74
2441436,173.11
2446448,173.11
2451444,172.65
2456432,172.65
2461440,172.65
2466440,172.19
2471432,172.19
2476444,171.74
2481448,171.74
2486436,171.74
2491436,173.11
2496440,172.65
2501448,172.65
2506440,173.11
2511436,172.65
2516448,172.19
2521444,172.65
2526444,172.19
2531452,171.74
2536444,171.28
2541452,173.11
2546448,172.65
2551436,172.65
2556432,172.65
2561440,173.11
2566444,172.65
2571436,172.19
2576448,172.19
2581444,171.28
2586440,171.74
2591440,172.65
2596440,172.65
2601448,172.65
2606440,172.65
2611444,172.65
2616452,172.19
2621452,172.65
2626440,172.65
2631444,171.28
2636444,172.65
2641444,171.74
2646448,172.65
2651440,172.65
2656460,172.65
2661448,172.65
2666444,172.65
2671436,172.19
2676448,172.19
2681452,171.74
2686448,172.19
2691452,171.28
2696440,172.65
2701452,173.11
2706456,172.65
2711448,172.19
2716452,172.19
2721448,172.65
2726440,172.65
2731460,171.74
2736452,171.28
2741444,171.74
2746444,172.65
2751440,172.65
2756444,172.65
2761444,173.11
2766444,172.65
2771452,172.65
2776440,172.65
2781456,172.19
2786444,171.74
2791456,171.28
2796440,172.65
2801448,172.65
2806444,173.11
2811444,172.65
2816444,172.65
2821444,173.11
2826452,173.11
2831456,172.19
2836452,171.74
2841444,171.28
2846440,173.11
2851448,172.65
2856452,172.65
2861444,173.11
2866440,173.11
2871460,172.65
2876448,172.65
2881444,172.65
2886448,171.74
2891452,171.74
2896448,171.74
2901448,172.65
2906444,173.11
2911440,172.65
2916452,172.65
2921440,172.65
2926436,172.65
2931452,172.19
2936452,171.74
2941448,171.74
2946452,171.74
2951440,172.65
2956452,172.65
2961452,172.65
2966444,173.11
2971452,172.65
2976444,172.65
2981440,172.65
2986452,172.65
2991452,171.28
2996440,171.28
3001448,172.65
3006440,173.11
3011440,172.65
3016444,172.65
3021444,172.65
3026436,172.65
3031452,172.19
3036444,172.19
3041448,171.74
3046452,171.74
3051444,172.65
3056452,172.65
3061448,173.11
3066440,173.11
3071440,172.19
3076452,171.74
3081440,172.65
3086448,172.65
3091464,171.28
3096444,171.74
3101452,172.65
3106444,172.65
3111436,172.65
3116448,172.65
3121444,172.65
3126456,173.11
3131448,172.19
3136448,172.19
3141448,171.28
3146444,172.65
3151444,172.19
3156448,173.11
3161444,173.11
3166436,173.11
3171452,172.19
3176452,172.19
3181444,172.65
3186448,173.11
3191448,172.19
3196452,171.74
3201440,171.74
3206440,173.11
3211440,172.65
3216448,173.11
3221440,173.11
3226448,172.65
3231444,172.65
3236448,172.19
3241440,172.19
3246456,171.74
3251444,171.74
3256448,172.65
3261448,173.11
3266444,172.65
3271448,172.65
3276444,172.19
3281440,172.65
3286448,172.65
3291448,172.19
3296448,171.28
3301444,171.28
3306440,173.11
3311456,172.65
3316448,172.65
3321444,172.65
3326448,172.65
3331448,172.65
3336448,172.19
3341440,172.19
3346464,171.74
3351444,171.28
3356452,172.65
3361448,172.65
3366452,173.11
3371448,172.65
3376448,172.65
3381448,173.11
3386444,173.11
3391448,172.19
3396452,171.28
3401444,172.65
3406452,171.74
3411448,172.65
3416444,172.65
3421448,172.65
3426452,173.11
3431452,172.65
3436448,172.19
3441456,172.65
3446444,172.65
3451448,171.28
3456448,171.28
3461448,172.65
3466452,173.11
3471448,172.65
3476444,172.65
3481440,172.65
3486448,172.65
3491444,172.19
3496444,172.19
3501444,171.74
3506452,171.74
3511456,172.65
3516456,173.11
3521436,173.11
3526456,172.65
3531444,172.65
3536444,172.65
3541452,172.65
3546448,172.65
3551452,171.74
3556448,171.28
3561440,173.11
3566456,173.11
3571448,172.65
3576448,172.65
3581452,173.11
3586448,172.65
3591444,172.65
3596448,172.19
3601452,171.74
