time(micros),mv,led,gain,mvfiltered,mvestimated
264,29,0,Inf,5.80000000000000,0
5728,29,0,Inf,11.6000000000000,0
11208,34,0,Inf,18.4000000000000,0
16720,29,0,Inf,24.2000000000000,0
22224,34,0,Inf,31.0000000000000,0
27736,29,0,Inf,31.0000000000000,0
33240,34,0,Inf,32,0
38744,29,0,Inf,31.0000000000000,0
44256,34,0,Inf,32,0
49760,34,0,Inf,32,0
55264,34,0,Inf,33,0
60776,34,0,Inf,33,0
66280,34,0,Inf,34,0
71792,34,0,Inf,34,0
77296,29,0,Inf,33,0
82800,34,0,Inf,33,0
88304,34,0,Inf,33,0
93808,34,0,Inf,33,0
99312,29,0,Inf,32,0
104824,29,0,Inf,32,0
110352,29,0,Inf,31.0000000000000,0
115896,34,0,Inf,31.0000000000000,0
121432,34,0,Inf,31.0000000000000,0
126968,34,0,Inf,32,0
132504,34,0,Inf,33,0
138040,34,0,Inf,34,0
143576,34,0,Inf,34,0
149104,34,0,Inf,34,0
154644,34,0,Inf,34,0
160176,34,0,Inf,34,0
165712,34,0,Inf,34,0
171248,39,0,Inf,35,0
176784,29,0,Inf,34,0
182328,34,0,Inf,34,0
187864,34,0,Inf,34,0
193400,34,0,Inf,34,0
198936,34,0,Inf,33,0
204472,39,0,Inf,35,0
210016,29,0,Inf,34,0
215544,34,0,Inf,34,0
221080,39,0,Inf,35,0
226616,29,0,Inf,34,0
232144,29,0,Inf,32,0
237688,34,0,Inf,33,0
243216,34,0,Inf,33,0
248752,34,0,Inf,32,0
254288,34,0,Inf,33,0
259824,34,0,Inf,34,0
265360,39,0,Inf,35,0
270896,34,0,Inf,35,0
276432,29,0,Inf,34,0
281968,29,0,Inf,33,0
287496,39,0,Inf,34,0
293032,29,0,Inf,32,0
298560,34,0,Inf,32,0
304096,39,0,Inf,34,0
309632,29,0,Inf,34,0
315168,29,0,Inf,32,0
320704,39,0,Inf,34,0
326240,34,0,Inf,34,0
331776,34,0,Inf,33,0
337312,34,0,Inf,34,0
342840,34,0,Inf,35,0
348376,34,0,Inf,34,0
353904,34,0,Inf,34,0
359444,34,0,Inf,34,0
364976,29,0,Inf,33,0
370512,34,0,Inf,33,0
376048,29,0,Inf,32,0
381576,34,0,Inf,32,0
387116,39,0,Inf,33,0
392648,34,0,Inf,34,0
398184,34,0,Inf,34,0
403720,39,0,Inf,36,0
409256,29,0,Inf,35,0
414800,29,0,Inf,33,0
420328,39,0,Inf,34,0
425864,29,0,Inf,33,0
431400,34,0,Inf,32,0
436928,34,0,Inf,33,0
442464,34,0,Inf,34,0
447992,34,0,Inf,33,0
453528,34,0,Inf,34,0
459064,34,0,Inf,34,0
464600,39,0,Inf,35,0
470136,34,0,Inf,35,0
475664,29,0,Inf,34,0
481192,34,0,Inf,34,0
486728,34,0,Inf,34,0
492264,39,0,Inf,34,0
497808,34,0,Inf,34,0
503336,34,0,Inf,35,0
508872,34,0,Inf,35,0
514408,34,0,Inf,35,0
519944,34,0,Inf,34,0
525480,34,0,Inf,34,0
531016,39,0,Inf,35,0
536552,34,0,Inf,35,0
542088,34,0,Inf,35,0
547616,34,0,Inf,35,0
553152,34,0,Inf,35,0
558680,29,0,Inf,33,0
564208,39,0,Inf,34,0
569744,34,0,Inf,34,0
575280,29,0,Inf,33,0
580816,39,0,Inf,34,0
586352,34,0,Inf,35,0
591892,34,0,Inf,34,0
597424,34,0,Inf,34,0
602960,34,0,Inf,35,0
608496,29,0,Inf,33,0
614024,34,0,Inf,33,0
619564,34,0,Inf,33,0
625096,34,0,Inf,33,0
630632,34,0,Inf,33,0
636168,34,0,Inf,34,0
641704,29,0,Inf,33,0
647248,34,0,Inf,33,0
652784,34,0,Inf,33,0
658320,39,0,Inf,34,0
663856,39,0,Inf,35,0
669392,34,0,Inf,36,0
674928,29,0,Inf,35,0
680456,39,0,Inf,36,0
685992,34,0,Inf,35,0
691528,29,0,Inf,33,0
697056,34,0,Inf,33,0
702592,34,0,Inf,34,0
708128,39,0,Inf,34,0
713664,34,0,Inf,34,0
719200,34,0,Inf,35,0
724736,29,0,Inf,34,0
730280,39,0,Inf,35,0
735816,34,0,Inf,34,0
741352,34,0,Inf,34,0
746888,34,0,Inf,34,0
752424,39,0,Inf,36,0
757960,29,0,Inf,34,0
763488,34,0,Inf,34,0
769024,34,0,Inf,34,0
774560,39,0,Inf,35,0
780096,39,0,Inf,35,0
785632,34,0,Inf,36,0
791168,34,0,Inf,36,0
796708,39,0,Inf,37,0
802240,34,0,Inf,36,0
807776,29,0,Inf,34,0
813312,39,0,Inf,35,0
818848,34,0,Inf,35,0
824384,34,0,Inf,34,0
829920,34,0,Inf,34,0
835456,34,0,Inf,35,0
840992,29,0,Inf,33,0
846520,34,0,Inf,33,0
852056,34,0,Inf,33,0
857592,34,0,Inf,33,0
863128,34,0,Inf,33,0
868664,34,0,Inf,34,0
874200,39,0,Inf,35,0
879736,34,0,Inf,35,0
885264,34,0,Inf,35,0
890800,34,0,Inf,35,0
896336,34,0,Inf,35,0
901872,39,0,Inf,35,0
907408,29,0,Inf,34,0
912936,39,0,Inf,35,0
918472,34,0,Inf,35,0
924008,29,0,Inf,34,0
929544,34,0,Inf,33,0
935080,34,0,Inf,34,0
940608,29,0,Inf,32,0
946136,34,0,Inf,32,0
951672,34,0,Inf,33,0
957208,29,0,Inf,32,0
962744,39,0,Inf,33,0
968280,34,0,Inf,34,0
973816,34,0,Inf,34,0
979352,39,0,Inf,35,0
984888,29,0,Inf,35,0
990424,34,0,Inf,34,0
995952,39,0,Inf,35,0
1001492,34,0,Inf,35,0
1007048,29,0,Inf,33,0
1012600,39,0,Inf,35,0
1018160,34,0,Inf,35,0
1023712,34,0,Inf,34,0
1029272,29,0,Inf,33,0
1034824,34,0,Inf,34,0
1040376,34,0,Inf,33,0
1045936,34,0,Inf,33,0
1051488,34,0,Inf,33,0
1057048,34,0,Inf,34,0
1062600,39,0,Inf,35,0
1068160,34,0,Inf,35,0
1073712,34,0,Inf,35,0
1079264,29,0,Inf,34,0
1084824,34,0,Inf,34,0
1090376,34,0,Inf,33,0
1095936,29,0,Inf,32,0
1101488,29,0,Inf,31.0000000000000,0
1107048,34,0,Inf,32,0
1112600,34,0,Inf,32,0
1118152,34,0,Inf,32,0
1123712,39,0,Inf,34,0
1129264,39,0,Inf,36,0
1134824,39,0,Inf,37,0
1140376,34,0,Inf,37,0
1145936,34,0,Inf,37,0
1151488,34,0,Inf,36,0
1157040,34,0,Inf,35,0
1162600,39,0,Inf,35,0
1168152,34,0,Inf,35,0
1173712,34,0,Inf,35,0
1179264,39,0,Inf,36,0
1184824,39,0,Inf,37,0
1190376,34,0,Inf,36,0
1195928,29,0,Inf,35,0
1201488,34,0,Inf,35,0
1207040,34,0,Inf,34,0
1212600,39,0,Inf,34,0
1218152,34,0,Inf,34,0
1223708,29,0,Inf,34,0
1229264,39,0,Inf,35,0
1234816,34,0,Inf,35,0
1240376,34,0,Inf,34,0
1245928,29,0,Inf,33,0
1251496,34,0,Inf,34,0
1257048,34,0,Inf,33,0
1262608,29,0,Inf,32,0
1268160,34,0,Inf,32,0
1273712,29,0,Inf,32,0
1279272,34,0,Inf,32,0
1284824,34,0,Inf,32,0
1290384,34,0,Inf,33,0
1295936,29,0,Inf,32,0
1301488,34,0,Inf,33,0
1307048,34,0,Inf,33,0
1312600,39,0,Inf,34,0
1318160,29,0,Inf,33,0
1323712,34,0,Inf,34,0
1329272,39,0,Inf,35,0
1334824,34,0,Inf,35,0
1340376,34,0,Inf,34,0
1345936,34,0,Inf,35,0
1351488,34,0,Inf,35,0
1357048,34,0,Inf,34,0
1362600,29,0,Inf,33,0
1368160,34,0,Inf,33,0
1373712,39,0,Inf,34,0
1379264,34,0,Inf,34,0
1384824,34,0,Inf,34,0
1390376,34,0,Inf,35,0
1395936,39,0,Inf,36,0
1401488,39,0,Inf,36,0
1407048,34,0,Inf,36,0
1412600,29,0,Inf,35,0
1418152,34,0,Inf,35,0
1423712,39,0,Inf,35,0
1429264,34,0,Inf,34,0
1434824,34,0,Inf,34,0
1440376,34,0,Inf,35,0
1445932,39,0,Inf,36,0
1451488,39,0,Inf,36,0
1457040,34,0,Inf,36,0
1462600,34,0,Inf,36,0
1468152,34,0,Inf,36,0
1473712,39,0,Inf,36,0
1479264,34,0,Inf,35,0
1484820,34,0,Inf,35,0
1490376,34,0,Inf,35,0
1495928,34,0,Inf,35,0
1501488,39,0,Inf,35,0
1507040,29,0,Inf,34,0
1512600,39,0,Inf,35,0
1518152,34,0,Inf,35,0
1523704,39,0,Inf,36,0
1529264,34,0,Inf,35,0
1534816,29,0,Inf,35,0
1540376,34,0,Inf,34,0
1545928,34,0,Inf,34,0
1551488,34,0,Inf,33,0
1557040,29,0,Inf,32,0
1562592,34,0,Inf,33,0
1568152,34,0,Inf,33,0
1573704,34,0,Inf,33,0
1579264,39,0,Inf,34,0
1584816,34,0,Inf,35,0
1590376,39,0,Inf,36,0
1595928,34,0,Inf,36,0
1601480,29,0,Inf,35,0
1607040,29,0,Inf,33,0
1612592,39,0,Inf,34,0
1618152,39,0,Inf,34,0
1623704,34,0,Inf,34,0
1629264,39,0,Inf,36,0
1634816,39,0,Inf,38,0
1640368,34,0,Inf,37,0
1645928,34,0,Inf,36,0
1651480,34,0,Inf,36,0
1657040,34,0,Inf,35,0
1662592,39,0,Inf,35,0
1668152,34,0,Inf,35,0
1673704,34,0,Inf,35,0
1679256,34,0,Inf,35,0
1684816,34,0,Inf,35,0
1690368,34,0,Inf,34,0
1695928,34,0,Inf,34,0
1701480,29,0,Inf,33,0
1707036,34,0,Inf,33,0
1712592,39,0,Inf,34,0
1718144,34,0,Inf,34,0
1723704,34,0,Inf,34,0
1729256,34,0,Inf,35,0
1734816,39,0,Inf,36,0
1740368,34,0,Inf,35,0
1745928,29,0,Inf,34,0
1751480,34,0,Inf,34,0
1757032,34,0,Inf,34,0
1762592,39,0,Inf,34,0
1768144,29,0,Inf,33,0
1773704,34,0,Inf,34,0
1779256,34,0,Inf,34,0
1784808,39,0,Inf,35,0
1790368,34,0,Inf,34,0
1795920,29,0,Inf,34,0
1801480,34,0,Inf,34,0
1807032,34,0,Inf,34,0
1812592,39,0,Inf,34,0
1818144,34,0,Inf,34,0
1823696,29,0,Inf,34,0
1829256,39,0,Inf,35,0
1834808,34,0,Inf,35,0
1840368,34,0,Inf,34,0
1845920,34,0,Inf,34,0
1851480,34,0,Inf,35,0
1857032,34,0,Inf,34,0
1862584,34,0,Inf,34,0
1868144,29,0,Inf,33,0
1873696,39,0,Inf,34,0
1879256,34,0,Inf,34,0
1884808,34,0,Inf,34,0
1890368,34,0,Inf,34,0
