"","x"
"1",5000
"2",5000
"3",5000
"4",5000
"5",5000
"6",5000
"7",5000
"8",5000
"9",5000
"10",5000
"11",5000
"12",5000
"13",5000
"14",5000
"15",5000
"16",5004
"17",4996
"18",5000
"19",5000
"20",5000
"21",5000
"22",5000
"23",5000
"24",5000
"25",5000
"26",5000
"27",5000
"28",5000
"29",5000
"30",5000
"31",5000
"32",5000
"33",5000
"34",5000
"35",5000
"36",5000
"37",5000
"38",5000
"39",5000
"40",5000
"41",5000
"42",5000
"43",5000
"44",5000
"45",5000
"46",5000
"47",5000
"48",5000
"49",5000
"50",5000
"51",5000
"52",5000
"53",5000
"54",5000
"55",5000
"56",5000
"57",5000
"58",5000
"59",5000
"60",5000
"61",5000
"62",5000
"63",5000
"64",5000
"65",5000
"66",5000
"67",5000
"68",5000
"69",5000
"70",5000
"71",5000
"72",5000
"73",5000
"74",5000
"75",5000
"76",5000
"77",5000
"78",5000
"79",5000
"80",5000
"81",5000
"82",5000
"83",5000
"84",5000
"85",5000
"86",5000
"87",5000
"88",5000
"89",5000
"90",5000
"91",5000
"92",5000
"93",5000
"94",5000
"95",5000
"96",5000
"97",5000
"98",5000
"99",5000
"100",5000
"101",5000
"102",5000
"103",5000
"104",5000
"105",5000
"106",5000
"107",5000
"108",5000
"109",5000
"110",5000
"111",5000
"112",5000
"113",5000
"114",5000
"115",5000
"116",5000
"117",5000
"118",5000
"119",5000
"120",5000
"121",5000
"122",5000
"123",5000
"124",5000
"125",5000
"126",5000
"127",5000
"128",5000
"129",5000
"130",5000
"131",5000
"132",5000
"133",5000
"134",5000
"135",5000
"136",5000
"137",5000
"138",5000
"139",5000
"140",5000
"141",5000
"142",5000
"143",5000
"144",5004
"145",4996
"146",5000
"147",5000
"148",5000
"149",5000
"150",5000
"151",5000
"152",5000
"153",5000
"154",5000
"155",5000
"156",5000
"157",5000
"158",5000
"159",5000
"160",5000
"161",5000
"162",5000
"163",5000
"164",5000
"165",5000
"166",5000
"167",5000
"168",5000
"169",5000
"170",5000
"171",5000
"172",5000
"173",5000
"174",5000
"175",5000
"176",5000
"177",5000
"178",5000
"179",5000
"180",5000
"181",5000
"182",5000
"183",5000
"184",5000
"185",5000
"186",5000
"187",5000
"188",5000
"189",5000
"190",5000
"191",5000
"192",5000
"193",5000
"194",5000
"195",5000
"196",5000
"197",5000
"198",5000
