// time microseconds, LUX*100
43971288,17403
43976284,17265
43981284,17449
43986284,17449
43991292,17357
43996288,17449
44001288,17357
44006284,17403
44011288,17265
44016288,17403
44021284,17265
44026284,17357
44031284,17219
44036284,17449
44041284,17403
44046280,17265
44051284,17357
44056288,17403
44061296,17403
44066288,17219
44071288,17357
44076292,17265
44081284,17403
44086288,17357
44091280,17357
44096288,17449
44101288,17403
44106284,17403
44111288,17357
44116292,17403
44121284,17265
44126288,17357
44131276,17265
44136288,17403
44141292,17403
44146288,17311
44151284,17311
44156288,17311
44161296,17357
44166288,17128
44171288,17311
44176276,17265
44181284,17357
44186284,17265
44191288,17311
44196288,17357
44201292,17357
44206284,17311
44211288,17265
44216280,17403
44221284,17219
44226284,17311
44231288,17174
44236288,17357
44241284,17403
44246288,17311
44251288,17357
44256296,17311
44261288,17357
44266288,17265
44271288,17311
44276284,17219
44281288,17357
44286284,17219
44291284,17311
44296284,17403
44301280,17357
44306284,17357
44311288,17311
44316292,17357
44321288,17219
44326284,17311
44331284,17219
44336296,17357
44341288,17403
44346280,17311
44351284,17357
44356288,17357
44361284,17403
44366288,17311
44371284,17311
44376296,17174
44381288,17357
44386280,17265
44391284,17357
44396288,17403
44401284,17403
44406284,17357
44411288,17265
44416288,17403
44421288,17219
44426288,17357
44431280,17174
44436284,17357
44441284,17311
44446288,17311
44451284,17357
44456284,17357
44461292,17403
44466296,17265
44471276,17357
44476288,17174
44481284,17357
44486288,17174
44491284,17357
44496288,17357
44501284,17403
44506288,17311
44511284,17311
44516276,17403
44521288,17311
44526288,17311
44531288,17174
44536284,17403
44541284,17265
44546292,17357
44551284,17357
44556296,17357
44561288,17357
44566288,17265
44571292,17357
44576292,17174
44581284,17403
44586288,17174
44591288,17311
44596284,17357
44601276,17357
44606288,17357
44611284,17311
44616284,17403
44621296,17311
44626284,17311
44631296,17174
44636292,17311
44641280,17265
44646284,17311
44651284,17357
44656288,17357
44661288,17403
44666284,17311
44671288,17357
44676292,17174
44681296,17357
44686280,17128
44691288,17311
44696284,17265
44701284,17357
44706284,17357
44711284,17311
44716292,17403
44721296,17311
44726284,17311
44731280,17174
44736284,17357
44741284,17265
44746288,17311
44751288,17357
44756288,17357
44761292,17403
44766288,17311
44771284,17357
44776288,17265
44781292,17403
44786284,17128
44791284,17311
44796284,17219
44801292,17357
44806288,17311
44811288,17311
44816284,17357
44821288,17357
44826288,17357
44831292,17174
44836284,17357
44841284,17265
44846292,17311
44851284,17403
44856284,17357
44861288,17403
44866288,17265
44871284,17311
44876288,17311
44881288,17403
44886296,17174
44891284,17357
44896284,17265
44901276,17403
44906288,17357
44911284,17357
44916284,17403
44921288,17311
44926284,17311
44931292,17174
44936284,17357
44941280,17219
44946292,17357
44951284,17265
44956284,17357
44961284,17403
44966288,17311
44971288,17311
44976296,17311
44981284,17403
44986284,17174
44991284,17357
44996284,17219
45001284,17357
45006284,17357
45011288,17311
45016296,17357
45021288,17357
45026284,17311
45031288,17265
45036288,17311
45041284,17219
45046284,17311
45051284,17219
45056284,17357
45061288,17403
45066288,17311
45071284,17311
45076288,17311
45081284,17403
45086288,17219
45091288,17311
45096284,17219
45101296,17357
45106292,17357
45111284,17311
45116284,17403
45121292,17311
45126284,17357
45131288,17265
45136284,17357
45141284,17219
45146288,17311
45151288,17174
45156276,17403
45161292,17403
45166296,17311
45171284,17311
45176284,17311
45181288,17357
45186300,17174
45191284,17357
45196284,17219
45201284,17357
45206284,17265
45211288,17311
45216284,17403
45221284,17357
45226288,17357
