// time microseconds, LUX*100
2086436,17311
2091448,17265
2096440,17265
2101448,17311
2106440,17265
2111440,17219
2116448,17219
2121444,17128
2126436,17265
2131444,17128
2136436,17265
2141444,17311
2146440,17311
2151452,17265
2156436,17265
2161452,17311
2166444,17265
2171440,17219
2176444,17219
2181448,17174
2186448,17311
2191444,17311
2196448,17265
2201448,17311
2206444,17311
2211436,17265
2216448,17265
2221440,17265
2226444,17219
2231460,17174
2236448,17311
2241440,17311
2246448,17311
2251440,17265
2256436,17265
2261444,17311
2266440,17311
2271440,17219
2276444,17219
2281440,17265
2286452,17357
2291444,17311
2296440,17265
2301448,17311
2306440,17311
2311444,17219
2316456,17219
2321452,17219
2326448,17174
2331436,17083
2336436,17219
2341436,17311
2346448,17311
2351440,17311
2356456,17357
2361448,17357
2366444,17265
2371448,17174
2376452,17128
2381444,17219
2386448,17265
2391440,17311
2396444,17265
2401456,17311
2406444,17311
2411448,17265
2416452,17265
2421448,17311
2426444,17311
2431452,17219
2436444,17174
2441436,17311
2446448,17311
2451444,17265
2456432,17265
2461440,17265
2466440,17219
2471432,17219
2476444,17174
2481448,17174
2486436,17174
2491436,17311
2496440,17265
2501448,17265
2506440,17311
2511436,17265
2516448,17219
2521444,17265
2526444,17219
2531452,17174
2536444,17128
2541452,17311
2546448,17265
2551436,17265
2556432,17265
2561440,17311
2566444,17265
2571436,17219
2576448,17219
2581444,17128
2586440,17174
2591440,17265
2596440,17265
2601448,17265
2606440,17265
2611444,17265
2616452,17219
2621452,17265
2626440,17265
2631444,17128
2636444,17265
2641444,17174
2646448,17265
2651440,17265
2656460,17265
2661448,17265
2666444,17265
2671436,17219
2676448,17219
2681452,17174
2686448,17219
2691452,17128
2696440,17265
2701452,17311
2706456,17265
2711448,17219
2716452,17219
2721448,17265
2726440,17265
2731460,17174
2736452,17128
2741444,17174
2746444,17265
2751440,17265
2756444,17265
2761444,17311
2766444,17265
2771452,17265
2776440,17265
2781456,17219
2786444,17174
2791456,17128
2796440,17265
2801448,17265
2806444,17311
2811444,17265
2816444,17265
2821444,17311
2826452,17311
2831456,17219
2836452,17174
2841444,17128
2846440,17311
2851448,17265
2856452,17265
2861444,17311
2866440,17311
2871460,17265
2876448,17265
2881444,17265
2886448,17174
2891452,17174
2896448,17174
2901448,17265
2906444,17311
2911440,17265
2916452,17265
2921440,17265
2926436,17265
2931452,17219
2936452,17174
2941448,17174
2946452,17174
2951440,17265
2956452,17265
2961452,17265
2966444,17311
2971452,17265
2976444,17265
2981440,17265
2986452,17265
2991452,17128
2996440,17128
3001448,17265
3006440,17311
3011440,17265
3016444,17265
3021444,17265
3026436,17265
3031452,17219
3036444,17219
3041448,17174
3046452,17174
3051444,17265
3056452,17265
3061448,17311
3066440,17311
3071440,17219
3076452,17174
3081440,17265
3086448,17265
3091464,17128
3096444,17174
3101452,17265
3106444,17265
3111436,17265
3116448,17265
3121444,17265
3126456,17311
3131448,17219
3136448,17219
3141448,17128
3146444,17265
3151444,17219
3156448,17311
3161444,17311
3166436,17311
3171452,17219
3176452,17219
3181444,17265
3186448,17311
3191448,17219
3196452,17174
3201440,17174
3206440,17311
3211440,17265
3216448,17311
3221440,17311
3226448,17265
3231444,17265
3236448,17219
3241440,17219
3246456,17174
3251444,17174
3256448,17265
3261448,17311
3266444,17265
3271448,17265
3276444,17219
3281440,17265
3286448,17265
3291448,17219
3296448,17128
3301444,17128
3306440,17311
3311456,17265
3316448,17265
3321444,17265
3326448,17265
3331448,17265
3336448,17219
3341440,17219
3346464,17174
3351444,17128
3356452,17265
3361448,17265
3366452,17311
3371448,17265
3376448,17265
3381448,17311
3386444,17311
3391448,17219
3396452,17128
3401444,17265
3406452,17174
3411448,17265
3416444,17265
3421448,17265
3426452,17311
3431452,17265
3436448,17219
3441456,17265
3446444,17265
3451448,17128
3456448,17128
3461448,17265
3466452,17311
3471448,17265
3476444,17265
3481440,17265
3486448,17265
3491444,17219
3496444,17219
3501444,17174
3506452,17174
3511456,17265
3516456,17311
3521436,17311
3526456,17265
3531444,17265
3536444,17265
3541452,17265
3546448,17265
3551452,17174
3556448,17128
3561440,17311
3566456,17311
3571448,17265
3576448,17265
3581452,17311
3586448,17265
3591444,17265
3596448,17219
3601452,17174
